timestamp,distance_cm,altitude_angle_deg,azimuth_angle_deg,scan_repeat
1760412814.9283316,15.0,97,3,0
1760412814.9701276,14.0,96,3,0
1760412815.0121462,12.5,95,3,0
1760412815.054076,12.0,94,3,0
1760412815.0955734,11.75,93,3,0
1760412815.1385772,11.0,92,3,0
1760412815.1803772,11.0,91,3,0
1760412815.2227693,11.0,90,4,0
1760412815.2662315,10.75,91,4,0
1760412815.3063204,10.25,92,4,0
1760412815.3477933,10.5,93,4,0
1760412815.390007,11.0,94,4,0
1760412815.4316041,11.0,95,4,0
1760412815.4740255,11.25,96,4,0
1760412815.5164502,12.0,97,4,0
1760412815.5583475,12.0,98,4,0
1760412815.6008635,13.0,99,4,0
1760412815.6427524,13.75,100,4,0
1760412815.684462,15.0,101,4,0
1760412815.726719,15.5,102,4,0
1760412815.7682114,16.0,103,4,0
1760412815.8099518,16.0,104,4,0
1760412815.8513148,16.0,105,4,0
1760412815.8927395,16.0,106,4,0
1760412815.9343364,15.0,107,4,0
1760412815.9760752,15.0,108,4,0
1760412816.0181952,15.0,109,4,0
1760412816.0598278,15.0,110,4,0
1760412816.1019685,15.0,111,4,0
1760412816.1438906,15.0,112,4,0
1760412816.1856587,15.0,113,4,0
1760412816.227245,14.5,114,4,0
1760412816.2688909,14.0,115,4,0
1760412816.3106647,14.0,116,4,0
1760412816.3529184,13.25,117,4,0
1760412816.3947537,13.0,118,4,0
1760412816.4374003,13.0,119,4,0
1760412816.479566,13.0,120,4,0
1760412816.5218058,13.0,121,4,0
1760412816.5636897,13.0,122,4,0
1760412816.6056633,13.0,123,4,0
1760412816.6472266,12.75,124,4,0
1760412816.6886199,12.0,125,4,0
1760412816.7301438,12.0,126,4,0
1760412816.7715201,12.0,127,4,0
1760412816.8131146,12.0,128,4,0
1760412816.8555827,12.0,129,4,0
1760412816.8971179,12.0,130,4,0
1760412816.9396856,12.0,131,4,0
1760412816.9823868,12.0,132,4,0
1760412817.0249596,12.0,133,4,0
1760412817.0674136,12.0,134,4,0
1760412817.1099207,12.0,135,4,0
1760412817.1527722,12.0,136,4,0
1760412817.1952653,12.75,137,4,0
1760412817.238423,13.0,138,4,0
1760412817.2801135,13.0,139,4,0
1760412817.3219817,12.25,140,4,0
1760412817.3639507,12.0,141,4,0
1760412817.4056566,12.0,142,4,0
1760412817.4468257,12.0,143,4,0
1760412817.4893491,12.0,144,4,0
